Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters,problem_size,connections_per_node,max_attempts,num_edges,run_number,group_timestamp,total_runtime
50,0.10518604097887874,511.0,575.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
51,0.10736508300760761,511.0,586.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
52,0.10962329100584611,511.0,597.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
53,0.1117960829869844,511.0,608.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
54,0.11400154099101201,511.0,619.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
55,0.11600537499180064,511.0,630.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
56,0.11794650001684204,511.0,641.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
57,0.11999183299485594,512.0,653.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
58,0.12202345801051706,512.0,664.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
59,0.1240593750262633,512.0,675.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
60,0.12603395798942074,512.0,686.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
61,0.1279994160286151,512.0,697.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
62,0.12996158300666139,512.0,708.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
63,0.13193612499162555,512.0,719.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
64,0.1339287080336362,512.0,730.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
